zipcode,population,poverty_rate,median_income,median_gross_rent,rent_burden
49052,994,0.13682092555331993,58424,49,0.0008386964261262495
49053,7559,0.08413811350707766,80382,387,0.004814510711353288
49055,6195,0.15318805488297013,66058,335,0.005071300977928487
49056,3751,0.22340709144228205,52500,171,0.0032571428571428573
49057,6393,0.1628343500703895,48363,540,0.011165560449103653
49058,19153,0.07711585652378218,67942,1191,0.017529657649171353
49060,2604,0.015360983102918587,91993,128,0.0013914102159946953
49061,1818,0.11056105610561057,73402,78,0.0010626413449224817
49063,120,0.0,-666666666,0,-0.0
49064,3744,0.1372863247863248,62788,308,0.004905395935529082
49065,7268,0.08970831040176115,72917,512,0.0070216821865957185
49066,645,0.17829457364341086,60500,42,0.0006942148760330578
49067,3938,0.08125952260030472,69223,186,0.0026869682042095834
49068,15147,0.08034594309104114,78257,1242,0.015870784722133484
49070,2175,0.11632183908045977,71071,73,0.0010271418722122947
49071,11477,0.03546222880543696,101665,380,0.003737766192888408
49072,2753,0.09407918634217217,70313,100,0.0014222121087138935
49073,5035,0.14955312810327706,56719,334,0.005888679278548635
49074,223,0.17488789237668162,-666666666,57,-8.55000000855e-08
49075,166,0.41566265060240964,-666666666,16,-2.4000000024e-08
49076,4112,0.07782101167315175,61146,336,0.005495044647237759
49078,10464,0.06488914373088685,72985,723,0.009906145098307872
49079,13469,0.10772885886108842,71463,1192,0.016679960259155087
49080,15516,0.10273266305748904,71451,1008,0.014107570222949993
49082,6207,0.11148703077170936,68011,346,0.005087412330358324
49083,7780,0.02647814910025707,102933,244,0.002370473997648956
49084,13,0.07692307692307693,53250,1,1.8779342723004694e-05
49085,23778,0.039153839683741275,96034,2240,0.02332507237020222
49087,6168,0.052042801556420236,95449,188,0.001969638236126099
49088,3794,0.04454401686874011,101786,69,0.0006778928339850274
49089,2100,0.19428571428571428,58393,117,0.002003664822838354
49090,13714,0.16654513635700743,63020,1334,0.021167883211678833
49091,19831,0.1534466239725682,60606,2311,0.038131538131538134
49092,1945,0.1429305912596401,68603,118,0.0017200413976065187
49093,18445,0.1141772838167525,61937,2065,0.033340329689846133
49094,3682,0.12710483432916894,61250,417,0.0068081632653061224
49095,2357,0.09418752651675859,84132,101,0.0012004944610849617
49096,2976,0.10752688172043011,68641,158,0.0023018312670269954
49097,11448,0.0500524109014675,80047,713,0.008907266980648868
49098,5929,0.20306965761511217,56278,434,0.0077117168342869325
49099,5724,0.13522012578616352,63313,498,0.007865683193025129
49101,2897,0.049016223679668625,74583,186,0.0024938658943727122
49102,1530,0.08627450980392157,53750,87,0.0016186046511627906
49103,11136,0.1682830459770115,59797,1561,0.026104988544575814
49104,479,0.0,-666666666,0,-0.0
49106,5135,0.049269717624148,75517,487,0.006448879060344029
49107,10534,0.07224226314790202,62626,899,0.014355060198639543
49111,3397,0.08919634972034148,63226,188,0.002973460285325657
49112,10299,0.13758617341489465,65286,737,0.011288790858683331
49113,1732,0.14434180138568128,54107,170,0.003141922486924058
49115,110,0.14545454545454545,47841,0,0.0
49116,111,0.0,-666666666,5,-7.5000000075e-09
49117,3390,0.1463126843657817,68646,396,0.005768726509920462
49119,134,0.0,55500,23,0.0004144144144144144
49120,36792,0.1457653837790824,59450,3145,0.05290159798149706
49125,2167,0.12690355329949238,78363,79,0.001008128836313056
49126,1430,0.12517482517482517,55938,91,0.001626801101219207
49127,11223,0.07163859930499866,91982,992,0.01078471874932052
49128,3422,0.06662770309760374,67813,249,0.0036718623272823793
49129,602,0.016611295681063124,100521,21,0.0002089115707165667
49130,1282,0.05382215288611544,81648,90,0.0011022927689594356
49201,49509,0.09454846593548648,68572,4559,0.06648486262614478
49202,18234,0.19946254250301634,39850,3833,0.09618569636135509
49203,37004,0.15349691925197276,53719,5040,0.09382155289562352
49220,2795,0.12093023255813953,64653,165,0.002552085750081203
49221,41209,0.15304909121793783,56640,4595,0.08112641242937853
49224,13280,0.1884789156626506,51283,1241,0.024199052317532124
49227,1194,0.21608040201005024,52171,74,0.0014184125280328151
49228,5381,0.02731834231555473,71425,396,0.005544277213860693
49229,3378,0.05298993487270574,83883,151,0.001800126366486654
49230,10089,0.06303895331549211,77329,431,0.005573588175199472
49232,2742,0.30306345733041573,53203,158,0.002969757344510648
49233,2889,0.054344063689858085,85370,84,0.0009839522080356097
49234,2580,0.04224806201550388,103681,106,0.0010223666824201155
49235,2059,0.06750849927149101,59539,95,0.0015955928047162364
49236,5036,0.07744241461477364,72232,273,0.0037794883154280653
49237,3080,0.0724025974025974,61942,157,0.002534629169222821
49238,1945,0.23239074550128536,72440,100,0.0013804527885146328
49240,9379,0.036677684188079755,92097,228,0.0024756506726603474
49241,1859,0.07746100053792361,85208,80,0.0009388789784996713
49242,14718,0.12291072156543009,56803,1564,0.02753375701987571
49245,4445,0.13790776152980877,57870,333,0.0057542768273716955
49246,3786,0.10512414157422081,71129,112,0.0015746038887092465
49247,5427,0.11461212456237332,57651,409,0.007094412932993357
49248,883,0.07021517553793885,63438,35,0.0005517197894006747
49249,3350,0.08776119402985075,69973,136,0.001943606819773341
49250,5825,0.1584549356223176,60069,447,0.0074414423413074965
49251,6445,0.07540729247478666,85577,343,0.004008086284866261
49252,2475,0.13696969696969696,52981,233,0.004397802985976105
49253,2676,0.11659192825112108,77609,87,0.0011210040072671984
49254,3803,0.05074940836181962,71375,309,0.004329246935201401
49255,2124,0.3408662900188324,48750,87,0.0017846153846153847
49256,3694,0.12317271250676773,55408,294,0.0053060929829627495
49258,10,0.2,-666666666,3,-4.5000000045e-09
49259,2684,0.06780923994038748,62917,65,0.001033107109366308
49261,278,0.3273381294964029,-666666666,17,-2.55000000255e-08
49262,1238,0.12520193861066237,46042,62,0.0013465965857260762
49263,0,,-666666666,0,-0.0
49264,1718,0.10477299185098952,79375,53,0.0006677165354330709
49265,5129,0.028660557613569896,76298,183,0.0023984901308029046
49266,3338,0.06530856800479329,63801,181,0.002836946129371013
49267,4024,0.040755467196819085,89006,144,0.0016178684583061816
49268,1179,0.15606446140797287,78750,53,0.000673015873015873
49269,5643,0.09037745879851143,79057,263,0.0033267136369960915
49270,5634,0.09460418885339013,81419,178,0.0021862218892396124
49271,1946,0.1880781089414183,51765,165,0.003187481889307447
49272,2502,0.10191846522781775,79808,48,0.0006014434643143544
49274,3727,0.23423665146230213,55333,286,0.005168705835577323
49276,873,0.0836197021764032,61875,37,0.000597979797979798
49277,2913,0.06659800892550635,80545,132,0.0016388354336085418
49279,889,0.10573678290213723,72232,55,0.00076143537490309
49282,71,0.07042253521126761,44659,10,0.00022391903087843435
49283,4398,0.05820827648931332,83472,277,0.0033184780525206056
49284,2764,0.13386396526772792,61019,194,0.0031793375833756698
49285,6106,0.06501801506714706,67148,460,0.006850539107642819
49286,14624,0.05224288840262582,73270,1245,0.016991947591101404
49287,2099,0.08099094807050977,83148,58,0.0006975513542117669
49288,1518,0.14492753623188406,60909,145,0.002380600568060549
49289,81,0.2839506172839506,95625,0,0.0
49301,20092,0.018763687039617758,168135,309,0.0018378089035596397
49302,9582,0.024107701941139637,115647,88,0.0007609362975260923
49303,928,0.15193965517241378,64432,64,0.0009932952570151478
49304,4614,0.21629822280017338,35882,390,0.010868959366813443
49305,2397,0.16729244889445138,44929,164,0.0036502036546551225
49306,10847,0.08020650871208629,104583,176,0.0016828738896378953
49307,18169,0.1978094556662447,50573,2528,0.049987147292033296
49309,1552,0.20167525773195877,40046,78,0.0019477600759127004
49310,2952,0.17953929539295393,60208,82,0.0013619452564443263
49312,160,0.4125,37917,11,0.0002901073397156948
49315,25397,0.030515415206520454,102912,780,0.00757929104477612
49316,25291,0.035388082717172115,97530,1086,0.01113503537373116
49318,1326,0.1033182503770739,70865,64,0.0009031256614689903
49319,18658,0.08596848536820667,73362,777,0.010591314304408277
49320,239,0.058577405857740586,66696,46,0.0006896965335252489
49321,15740,0.07871664548919949,66326,2206,0.03325995838735941
49322,1147,0.21970357454228423,56705,64,0.0011286482673485583
49323,10852,0.040545521562845556,93220,84,0.0009010941857970393
49325,2481,0.05804111245465538,82961,76,0.0009160931039886212
49326,3767,0.08654101406955136,70474,70,0.0009932741152765558
49327,8712,0.11604683195592287,63505,483,0.007605700338556019
49328,3962,0.127208480565371,81029,125,0.001542657567043898
49329,9056,0.09717314487632508,69083,446,0.006456002200251871
49330,5681,0.07780320366132723,76029,338,0.0044456720461929
49331,17522,0.05998173724460678,91102,1112,0.012206098658646353
49332,3405,0.07988252569750368,58372,123,0.002107174672788323
49333,12928,0.0686881188118812,92269,624,0.006762834754901429
49335,140,0.0,-666666666,0,-0.0
49336,4360,0.1688073394495413,51934,273,0.005256671929756999
49337,13155,0.14534397567464843,62232,691,0.011103612289497364
49338,1586,0.23076923076923078,55125,147,0.0026666666666666666
49339,2234,0.06087735004476276,73409,60,0.0008173384734841777
49340,2382,0.14273719563392107,48664,179,0.003678283741574881
49341,39094,0.03757609863406149,107117,1446,0.01349925782088744
49342,1508,0.13859416445623343,48150,149,0.003094496365524403
49343,6062,0.10755526228967338,74830,359,0.004797541093144461
49344,3896,0.09471252566735112,79779,173,0.0021684904548816106
49345,13155,0.06719878373242114,80126,690,0.008611436986745876
49346,4984,0.11958266452648475,67948,187,0.0027521045505386472
49347,1546,0.08344113842173351,78103,55,0.0007041983022419114
49348,13280,0.05948795180722891,76020,1068,0.014048934490923442
49349,7672,0.16579770594369134,50244,460,0.009155322028500916
49401,28358,0.22970590309612807,69468,3755,0.054053664996833076
49402,1517,0.12261041529334213,52321,42,0.0008027369507463542
49403,2604,0.031874039938556066,79444,84,0.001057348572579427
49404,8917,0.03218571268363799,74040,614,0.00829281469475959
49405,1705,0.12961876832844574,59306,58,0.0009779786193639766
49406,781,0.024327784891165175,96406,16,0.00016596477397672345
49408,10582,0.1445851445851446,67546,561,0.008305451099991118
49409,99,0.0,-666666666,0,-0.0
